Comment,Designator,Footprint,LCSC,Quantity
0.01uF,C2,C_0603_1608Metric,C57112,1
0.22R,"R1,R2,R3,R4,R5",R_1206_3216Metric,C327006,5
2.2uF,C1,C_0805_2012Metric,C377773,1
22uF,"C3,C4,C5,C6",C_1206_3216Metric,C12891,4
5k1,"R6,R7",R_0603_1608Metric,C23186,2
Conn_01x08_Pin,"J2,J3",PinSocket_1x08_P2.54mm_Vertical,C22438158,2
Conn_02x03_Odd_Even,"J4,J5",PinHeader_2x03_P2.54mm_Horizontal,C492431,2
DRV8833PWP,U2,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C50506,1
USB_C_Receptacle_PowerOnly_6P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-17,C283540,1
~,H3,Hole_Tooling_JLCPCB,,1
~,H2,Hole_Tooling_JLCPCB,,1
~,H1,Hole_Tooling_JLCPCB,,1
